Seconds,Volts
0,12.5978616024
30,12.6104720745
60,12.5221987699
90,12.5852511303
120,12.6104720745
150,12.534809242
180,12.534809242
210,12.5726406582
240,12.6104720745
270,12.5852511303
300,12.5221987699
330,12.5221987699
360,12.5852511303
390,12.4969778258
420,12.4717568816
450,12.4591464096
480,12.5852511303
510,12.5852511303
540,12.4843673537
570,12.4969778258
600,12.4843673537
630,12.5726406582
660,12.5600301862
690,12.5600301862
720,12.5726406582
750,12.4591464096
780,12.4339254654
810,12.4339254654
840,12.4339254654
870,12.5474197141
900,12.5600301862
930,12.4465359375
960,12.5095882979
990,12.534809242
1020,12.4213149934
1051,12.4717568816
1081,12.4591464096
1111,12.4087045213
1141,12.4339254654
1171,12.3960940492
1201,12.4213149934
1231,12.4843673537
1261,12.3960940492
1291,12.3960940492
1321,12.3834835771
1351,12.3960940492
1381,12.4087045213
1411,12.4591464096
1441,12.4843673537
1471,12.3708731051
1501,12.4087045213
1531,12.4087045213
1561,12.3708731051
1591,12.4843673537
1621,12.358262633
1651,12.4969778258
1681,12.4087045213
1711,12.4717568816
1741,12.4591464096
1771,12.4717568816
1801,12.4213149934
1831,12.3456521609
1861,12.4465359375
1891,12.4591464096
1921,12.4087045213
1951,12.3456521609
1981,12.3330416888
2011,12.4465359375
2041,12.3204312168
2071,12.4465359375
2101,12.3834835771
2131,12.4465359375
2162,12.3204312168
2192,12.3078207447
2222,12.4213149934
2252,12.4339254654
2282,12.3078207447
2312,12.2952102726
2342,12.4213149934
2372,12.4213149934
2402,12.2952102726
2432,12.4213149934
2462,12.3834835771
2492,12.4087045213
2522,12.3960940492
2552,12.4087045213
2582,12.358262633
2612,12.4087045213
2642,12.3456521609
2672,12.3960940492
2702,12.2952102726
2732,12.2952102726
2762,12.3330416888
2792,12.3960940492
2822,12.3834835771
2852,12.3456521609
2882,12.2447683843
2912,12.3456521609
2942,12.2825998005
2972,12.3708731051
3002,12.3330416888
3032,12.3456521609
3062,12.358262633
3092,12.3078207447
3122,12.2573788564
3152,12.3456521609
3182,12.2825998005
3212,12.2195474402
3243,12.2699893285
3273,12.2321579122
3303,12.2195474402
3333,12.2699893285
3363,12.2825998005
3393,12.2321579122
3423,12.3078207447
3453,12.2699893285
3483,12.2447683843
3513,12.2699893285
3543,12.2699893285
3573,12.2447683843
3603,12.3078207447
3633,12.194326496
3663,12.3078207447
3693,12.2321579122
3723,12.2195474402
3753,12.194326496
3783,12.194326496
3813,12.2952102726
3843,12.2195474402
3873,12.1817160239
3903,12.2825998005
3933,12.1817160239
3963,12.2952102726
3993,12.1564950798
4023,12.2573788564
4053,12.2069369681
4083,12.2447683843
4113,12.2069369681
4143,12.1691055519
4173,12.2447683843
4203,12.2069369681
4233,12.1564950798
4263,12.2321579122
4293,12.2447683843
4324,12.2069369681
4354,12.2321579122
4384,12.2195474402
4414,12.1817160239
4444,12.2573788564
4474,12.2447683843
4504,12.2447683843
4534,12.1438846077
4564,12.1817160239
4594,12.1438846077
4624,12.1186636636
4654,12.1691055519
4684,12.1817160239
4714,12.1564950798
4744,12.2321579122
4774,12.1060531915
4804,12.1312741356
4834,12.2321579122
4864,12.1312741356
4894,12.1438846077
4924,12.0934427194
4954,12.1060531915
4984,12.1186636636
5014,12.1060531915
5044,12.1564950798
5074,12.1060531915
5104,12.1438846077
5134,12.0934427194
5164,12.1438846077
5194,12.1312741356
5224,12.1691055519
5254,12.194326496
5284,12.1438846077
5314,12.1438846077
5344,12.1691055519
5375,12.0934427194
5405,12.0808322473
5435,12.0682217753
5465,12.194326496
5495,12.1186636636
5525,12.1564950798
5555,12.1691055519
5585,12.0556113032
5615,12.0934427194
5645,12.1186636636
5675,12.1060531915
5705,12.1564950798
5735,12.0430008311
5765,12.0808322473
5795,12.0556113032
5825,12.1186636636
5855,12.1186636636
5885,12.017779887
5915,12.0430008311
5945,12.0051694149
5975,12.0808322473
6005,12.0051694149
6035,12.0051694149
6065,12.0682217753
6095,11.9799484707
6125,12.0808322473
6155,11.9799484707
6185,12.0430008311
6215,11.9673379987
6245,12.0682217753
6275,12.0430008311
6305,11.9547275266
6335,12.0556113032
6365,11.9421170545
6395,12.030390359
6425,12.0556113032
6456,11.9673379987
6486,12.0556113032
6516,12.0430008311
6546,12.030390359
6576,11.9295065824
6606,12.0430008311
6636,12.0051694149
6666,11.9925589428
6696,11.9295065824
6726,11.9042856383
6756,11.9042856383
6786,11.9042856383
6816,11.9421170545
6846,11.9547275266
6876,11.8916751662
6906,12.0051694149
6936,11.8790646941
6966,11.9295065824
6996,11.8790646941
7026,11.8916751662
7056,11.9295065824
7086,11.8916751662
7116,11.8790646941
7146,11.9799484707
7176,11.9421170545
7206,11.9799484707
7236,11.8916751662
7266,11.9673379987
7296,11.85384375
7326,11.85384375
7356,11.85384375
7386,11.9168961104
7416,11.9673379987
7446,11.8412332779
7476,11.8790646941
7506,11.8412332779
7537,11.9547275266
7567,11.9168961104
7597,11.8916751662
7627,11.8412332779
7657,11.8664542221
7687,11.8916751662
7717,11.85384375
7747,11.8664542221
7777,11.9295065824
7807,11.9295065824
7837,11.9295065824
7867,11.8160123338
7897,11.85384375
7927,11.8160123338
7957,11.8286228059
7987,11.8412332779
8017,11.8034018617
8047,11.85384375
8077,11.8034018617
8107,11.7907913896
8137,11.8916751662
8167,11.8916751662
8197,11.85384375
8227,11.9042856383
8257,11.9042856383
8287,11.9042856383
8317,11.8034018617
8347,11.7907913896
8377,11.8412332779
8407,11.7781809176
8437,11.8034018617
8467,11.8412332779
8497,11.7655704455
8527,11.8160123338
8557,11.8664542221
8587,11.8916751662
8617,11.8034018617
8648,11.8790646941
8678,11.7655704455
8708,11.8664542221
8738,11.8286228059
8768,11.85384375
8798,11.7529599734
8828,11.7529599734
8858,11.7781809176
8888,11.7907913896
8918,11.8412332779
8948,11.8160123338
8978,11.85384375
9008,11.8034018617
9038,11.7277390293
9068,11.7781809176
9098,11.7781809176
9128,11.7151285572
9158,11.8286228059
9188,11.7151285572
9218,11.8160123338
9248,11.7529599734
9278,11.7277390293
9308,11.8286228059
9338,11.7781809176
9368,11.7781809176
9398,11.7151285572
9428,11.7655704455
9458,11.7781809176
9488,11.689907613
9518,11.689907613
9548,11.7025180851
9578,11.7781809176
9608,11.7907913896
9638,11.7781809176
9668,11.7403495013
9698,11.7655704455
9729,11.7655704455
9759,11.7529599734
9789,11.7151285572
9819,11.7781809176
9849,11.6646866689
9879,11.7529599734
9909,11.7151285572
9939,11.6646866689
9969,11.689907613
9999,11.7655704455
10029,11.7655704455
10059,11.7151285572
10089,11.7655704455
10119,11.689907613
10149,11.6394657247
10179,11.6520761968
10209,11.6520761968
10239,11.7529599734
10269,11.689907613
10299,11.6394657247
10329,11.7277390293
10359,11.6646866689
10389,11.6646866689
10419,11.7277390293
10449,11.677297141
10479,11.6142447806
10509,11.6394657247
10539,11.6394657247
10569,11.677297141
10599,11.6016343085
10629,11.6142447806
10659,11.6142447806
10689,11.7025180851
10719,11.6016343085
10749,11.689907613
10780,11.7151285572
10810,11.6520761968
10840,11.7151285572
10870,11.7151285572
10900,11.689907613
10930,11.6142447806
10960,11.6016343085
10990,11.677297141
11020,11.7025180851
11050,11.6016343085
11080,11.6142447806
11110,11.5764133644
11140,11.6646866689
11170,11.5638028923
11200,11.6520761968
11230,11.5638028923
11260,11.6520761968
11290,11.677297141
11320,11.5638028923
11350,11.6646866689
11380,11.6520761968
11410,11.6520761968
11440,11.677297141
11470,11.6394657247
11500,11.5638028923
11530,11.5638028923
11560,11.5890238364
11590,11.6016343085
11620,11.5511924202
11650,11.5511924202
11680,11.5385819481
11710,11.5385819481
11740,11.6268552527
11770,11.6520761968
11800,11.6646866689
11831,11.6142447806
11861,11.6520761968
11891,11.5890238364
11921,11.6520761968
11951,11.5385819481
11981,11.5511924202
12011,11.6394657247
12041,11.5890238364
12071,11.6016343085
12101,11.6142447806
12131,11.5385819481
12161,11.5385819481
12191,11.5385819481
12221,11.5764133644
12251,11.5638028923
12281,11.5638028923
12311,11.5511924202
12341,11.6016343085
12371,11.5007505319
12401,11.6268552527
12431,11.5638028923
12461,11.5638028923
12491,11.5638028923
12521,11.6142447806
12551,11.5890238364
12581,11.5007505319
12611,11.5385819481
12641,11.5259714761
