Seconds,Volts
0,11.8664542221
30,11.9168961104
60,11.8916751662
90,11.9042856383
120,11.8916751662
150,11.9925589428
180,11.8664542221
210,11.8790646941
240,11.9799484707
270,11.9042856383
300,11.9421170545
330,11.9421170545
360,11.9168961104
390,11.9168961104
420,11.8790646941
450,11.8916751662
480,11.9547275266
510,11.9547275266
540,11.9168961104
570,11.9168961104
600,11.9042856383
630,11.85384375
660,11.8916751662
690,11.8664542221
720,11.8916751662
750,11.8790646941
780,11.8664542221
810,11.85384375
840,11.9421170545
870,11.9168961104
900,11.9673379987
930,11.9421170545
960,11.9547275266
990,11.9168961104
1020,11.9168961104
1050,11.8664542221
1081,11.9421170545
1111,11.9042856383
1141,11.9295065824
1171,11.9547275266
1201,11.8790646941
1231,11.9295065824
1261,11.9421170545
1291,11.8790646941
1321,11.9042856383
1351,11.9168961104
1381,11.8790646941
1411,11.9421170545
1441,11.9799484707
1471,11.9168961104
1501,11.9421170545
1531,11.8916751662
1561,11.9421170545
1591,11.8916751662
1621,11.9295065824
1651,11.9042856383
1681,11.8790646941
1711,11.9547275266
1741,11.9673379987
1771,11.9042856383
1801,11.9799484707
1831,11.9925589428
1861,11.8664542221
1891,11.8916751662
1921,11.9421170545
1951,11.9799484707
1981,11.9042856383
2011,11.9421170545
2041,11.9421170545
2071,11.8790646941
2101,11.85384375
2131,11.9547275266
2161,11.9042856383
2192,11.9042856383
2222,11.9547275266
2252,11.9295065824
2282,11.9168961104
2312,11.8916751662
2342,11.9295065824
2372,11.9042856383
2402,11.8916751662
2432,11.9673379987
2462,11.9168961104
2492,11.9168961104
2522,11.9421170545
2552,11.9421170545
2582,11.9421170545
2612,11.9295065824
2642,11.8790646941
2672,11.9042856383
2702,11.9547275266
2732,11.9673379987
2762,11.9421170545
2792,11.9421170545
2822,11.9042856383
2852,11.8916751662
2882,11.9547275266
2912,11.9799484707
2942,11.9673379987
2972,11.9042856383
3002,11.8664542221
3032,11.9042856383
3062,11.9547275266
3092,11.9042856383
3122,11.9547275266
3152,11.9042856383
3182,11.9168961104
3212,11.9799484707
3242,11.9421170545
3273,11.9042856383
3303,11.9295065824
3333,12.030390359
3363,11.9168961104
3393,11.9168961104
3423,11.9421170545
3453,11.8916751662
3483,11.8916751662
3513,11.9168961104
3543,12.017779887
3573,11.9547275266
3603,11.9295065824
3633,11.8790646941
3663,11.9295065824
3693,11.9042856383
3723,11.9547275266
